epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,3.6188394901720815,0.3160027952480783,2.619256576679924,0.5759947814742336
2,2.2705174399122003,0.669601677148847,2.1025786370291715,0.6888454011741683
3,1.7872493331370698,0.7733053808525506,1.8926064538862375,0.7031963470319634
4,1.5182116991652217,0.8419287211740042,1.784331150950751,0.7162426614481409
5,1.340375611167284,0.8967155835080364,1.7249387665193063,0.7201565557729941
6,1.2204445388082188,0.9312368972746331,1.6845523749623357,0.7416829745596869
7,1.122758552879824,0.9598881900768693,1.6725996551526114,0.735812133072407
8,1.063002899791043,0.9747030048916842,1.6828159320144505,0.741030658838878
9,1.0141119352343364,0.9854647099930118,1.676555758975179,0.7403783431180692
10,0.9791858419682244,0.9921733053808526,1.6903390800416354,0.7351598173515982
11,0.9574777079328302,0.9944095038434662,1.6872398674449187,0.7338551859099804
12,0.9394815113309545,0.996366177498253,1.6933777621580897,0.7416829745596869
13,0.9272848879849469,0.9980433263452131,1.707862441087189,0.7397260273972602
14,0.9158141010462363,0.9983228511530399,1.6957239453028947,0.7403783431180692
15,0.9086252960435666,0.9988819007686932,1.7027590201714422,0.7416829745596869
16,0.9034441668532429,0.99958071278826,1.7069487792560654,0.7455968688845401
17,0.8992869939944029,0.9991614255765199,1.7116958962028042,0.7384213959556425
18,0.8972073925366192,0.9993011879804332,1.7101985262020383,0.7390737116764514
19,0.8965386533553912,0.99958071278826,1.7128007883972696,0.7442922374429224
20,0.8955592783741981,0.9993011879804332,1.7136912282121313,0.7390737116764514
