epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,4.248541338172182,0.20069881201956674,3.41898103609477,0.45792563600782776
2,3.083295702351131,0.5312368972746331,2.5896666654946365,0.6262230919765166
3,2.3627722643539673,0.664011180992313,2.1339527112708243,0.684931506849315
4,1.9588558844467046,0.7390635918937806,1.8742655650199198,0.7442922374429224
5,1.7093212689826907,0.7958071278825996,1.7661100710752504,0.7514677103718199
6,1.5415372833682472,0.8364779874213837,1.6755296124870762,0.7632093933463796
7,1.4202242732797778,0.86722571628232,1.6252331559516524,0.7775603392041748
8,1.3327527635002536,0.893361285814116,1.6013072253984326,0.7671232876712328
9,1.2632513494944755,0.9087351502445842,1.5776755867327885,0.7788649706457925
10,1.2132117186119138,0.9290006988120195,1.5550308781982791,0.7788649706457925
11,1.1686323804508798,0.9419986023759609,1.5476608814480874,0.7742987606001305
12,1.134319227579838,0.9524807826694619,1.5401839795488979,0.7788649706457925
13,1.1082176034222275,0.9584905660377359,1.540538224066618,0.7742987606001305
14,1.0874911868930446,0.9654786862334032,1.5407427507370652,0.7775603392041748
15,1.0658771939914098,0.9672955974842767,1.537894370660079,0.7788649706457925
16,1.061668428201762,0.969392033542977,1.5347561497199949,0.7827788649706457
17,1.054799116149305,0.9727463312368972,1.5415292982952469,0.7729941291585127
18,1.048597397660976,0.9742837176799442,1.5386723813400964,0.7756033920417482
19,1.041791904797344,0.9740041928721174,1.5384486785373577,0.7782126549249837
20,1.0366103764766583,0.9773584905660377,1.5349707790083615,0.776255707762557
